name,player_positions,overall,potential,age,height,country
G. Sudakov,"CAM, CM, CDM",80,87,22,177,Ukraine
Anderson Talisca,"CAM, ST, RW, CM",81,81,31,191,Brazil
C. Baleba,"CDM, CM",81,87,21,183,Cameroon
N. Stanciu,"CM, CAM",77,77,32,170,Romania
X. Simons,"CAM, LM, ST",84,87,22,179,Netherlands
C. Biraghi,"LB, LM",78,78,32,185,Italy
G. Xhaka,"CDM, CM",85,85,32,186,Switzerland
P. Dybala,"CAM, ST",86,86,31,177,Argentina
C. Pulisic,"RW, RM, CAM",84,84,26,178,United States
L. Advíncula,"RB, RM",75,75,35,180,Peru
S. Mané,"LM, RM, ST, LW",83,83,33,174,Senegal
Iñaki Williams,"RM, ST, RW",83,83,31,186,Ghana
C. Puertas,"CAM, CM",78,79,26,178,Spain
J. Clauss,"RB, RM",80,80,32,178,France
M. Kerkez,"LB, LM",82,86,21,180,Hungary
K. Koné,CM,79,84,24,185,France
T. Teuma,"CAM, CM",75,75,31,176,Malta
Mingueza,"RB, RM, LM",80,83,26,184,Spain
H. Son,"LW, ST, LM",85,85,32,183,Korea Republic
N. Kanté,"CDM, CM",85,85,34,168,France
K. Walker,"RB, RM",79,79,35,183,England
Parejo,"CM, CDM",82,82,36,182,Spain
M. O'Riley,"CAM, CM",78,83,24,188,Denmark
L. Díaz,"LM, LW, ST",85,85,28,180,Colombia
N. Amiri,"CM, CAM",81,81,28,180,Germany
M. Kovačić,"CM, CDM, CAM",83,83,31,178,Croatia
F. Ugrinić,"CM, CAM, CDM",75,78,26,184,Switzerland
O. Pineda,"CAM, CM, RB",77,77,29,170,Mexico
L. Paredes,"CM, CDM",78,78,31,182,Argentina
P. Foden,"RW, CM, LW, RM",85,88,25,171,England
Matheus Nunes,"RB, CM, RM",79,80,26,184,Portugal
İ. Gündoğan,"CM, CDM, CAM",83,83,34,180,Germany
W. Zaïre-Emery,"CM, CDM, CAM",80,87,19,178,France
Luis Milla,"CM, CDM",79,79,30,175,Spain
S. Al Dawsari,"LM, LW",82,82,33,173,Saudi Arabia
L. Sučić,"CM, CAM",78,86,22,185,Croatia
R. Malinovskyi,"CM, CAM, CDM",76,76,32,181,Ukraine
C. Gakpo,"LM, LW",84,85,26,189,Netherlands
Sergio Gómez,"LM, CM, LB",79,82,24,173,Spain
M. Shaparenko,"CM, CAM, CDM",78,79,26,178,Ukraine
Andrey Santos,"CM, CDM",80,87,21,180,Brazil
Johnny Cardoso,"CDM, CM",81,87,23,182,United States
O. Watkins,ST,84,84,29,180,England
M. Olise,"RM, RW",86,88,23,184,France
D. Zappacosta,"LM, RM, LB",79,79,33,182,Italy
J. Henderson,"CDM, CM",79,79,35,182,England
Zubimendi,"CDM, CM",83,87,26,180,Spain
A. Cambiaso,"LB, RB, LM",79,82,25,182,Italy
A. Robertson,"LB, LM",82,82,31,178,Scotland
F. Mendy,"LB, LM",81,81,30,180,France
D. Muñoz,"RB, RM",81,81,29,181,Colombia
R. Bensebaini,"LB, CB, LM",79,79,30,187,Algeria
M. Camara,"CM, CDM",74,74,28,182,Guinea
P. Zieliński,CM,80,80,31,180,Poland
E. Eze,"CAM, LW, ST",83,84,27,178,England
Matheus Cunha,"CAM, LW, ST",83,85,26,183,Brazil
N. Deossa,"CM, CDM, CAM",75,80,25,185,Colombia
D. Hancko,"CB, LB, LM",83,85,27,188,Slovakia
Isco,"CAM, LM, CM",84,84,33,176,Spain
Ander Herrera,"CDM, CM",78,78,35,182,Spain
Z. Tripić,"RW, LW, RM",76,76,32,182,Norway
Malcom,"CAM, RM, LM, CM",82,82,28,172,Brazil
E. Sánchez,"CM, CDM",78,81,25,167,Mexico
N. Rovella,"CDM, CM",79,84,23,179,Italy
K. Taylor,"CM, CAM",78,84,23,182,Netherlands
Ronaldo Cabrais,"CAM, RM, CM",83,83,29,177,Brazil
M. Folorunsho,"CAM, CM, ST",75,75,27,185,Italy
R. Christie,"CDM, CM, CAM",79,79,30,178,Scotland
Fornals,"CDM, CM, RM",79,79,29,178,Spain
Lucas Vázquez,"RB, RM",77,77,34,173,Spain
A. Bah,"RB, RM",78,79,27,183,Denmark
A. Golovin,"LM, CAM, LW",79,79,29,178,Russia
Gerson Armão,"LB, LM",78,78,25,186,Brazil
Rodinei,"RB, RM",79,79,33,177,Brazil
S. Lobotka,"CM, CDM",83,83,30,170,Slovakia
D. Zakaria,"CDM, CM",82,83,28,190,Switzerland
S. Ascacíbar,"CDM, CM",78,78,28,169,Argentina
M. Damsgaard,"CAM, CM",80,83,24,180,Denmark
E. Skhiri,"CDM, CM",80,80,30,185,Tunisia
F. Schär,CB,82,82,33,188,Switzerland
N. Schlotterbeck,CB,85,88,25,191,Germany
L. Messi,"RW, ST, CAM, RM",86,86,38,169,Argentina
R. Rodríguez,"LB, CB, LM",74,74,32,180,Switzerland
E. Buendía,"CAM, LM, RM, CM",77,77,28,172,Argentina
L. Suárez,"ST, CAM",79,79,38,182,Uruguay
A. Gordon,"LW, RW, LM",83,86,24,183,England
T. Lemar,"CM, LM",77,77,29,171,France
V. van Dijk,CB,90,90,33,193,Netherlands
R. Perraud,"LB, LM",74,75,27,173,France
C. Jones,"CAM, CM, CDM",80,83,24,185,England
M. Pašalić,"CM, CAM",80,80,30,186,Croatia
N. Nández,"CM, RB, RM, CAM",76,76,29,172,Uruguay
Ruiz de Galarreta,"CDM, CM",80,80,31,175,Spain
A. Gomes,"CAM, CM, CDM",76,81,24,166,England
O. Tufan,"CDM, CAM, ST, CM",73,73,30,184,Turkiye
A. Engels,"CM, CDM",75,84,21,185,Belgium
D. Udogie,LB,80,84,22,186,Italy
Mauro Júnior,"LB, CM, RB, LM",79,82,26,171,Brazil
F. Kadıoğlu,"RB, LB, RM",79,81,25,174,Turkiye
G. Galoppo,"CM, CAM",74,75,26,180,Argentina
T. Pobega,"CM, CDM",74,77,25,188,Italy
Y. Adli,"CDM, CM",78,83,24,186,France
J. Lerma,"CDM, CM, CB",77,77,30,179,Colombia
R. Baku,"RM, RB, RW",78,78,27,176,Germany
Evander,"CAM, CM, ST",79,80,27,178,Brazil
L. Majer,"CM, CAM, RM",78,79,27,178,Croatia
O. Marmoush,"ST, CAM, LW",84,85,26,183,Egypt
A. Claude-Maurice,"CAM, CM, LW",77,78,27,175,France
R. Bentancur,"CDM, CM",80,81,28,187,Uruguay
L. Da Cunha,"CDM, CM, CAM",74,79,24,176,France
Pepelu,"CM, CDM",77,78,26,186,Spain
O. Zinchenko,LB,77,77,28,175,Ukraine
J. Stage,"CM, CDM",78,78,28,185,Denmark
T. Weah,"RM, RB",77,78,25,182,United States
İ. Kahveci,"RW, CAM, CM, RM",78,78,29,176,Turkiye
L. Martínez,CB,81,82,27,178,Argentina
P. Pogba,"CM, CDM, CAM",79,79,32,191,France
M. Uribe,"CM, CDM",76,76,34,182,Colombia
T. Partey,"CDM, CM, RB",83,83,32,185,Ghana
Renan Lodi,"LB, LM",78,79,27,173,Brazil
J. Brownhill,"CDM, CM, CAM",76,76,29,180,England
L. Robertone,"CM, CDM",72,72,28,169,Argentina
M. Mittelstädt,"LB, LM",82,82,28,180,Germany
Guga Rodrigues,"CM, LM, CAM",74,74,27,168,Portugal
Gayà,"LB, LM",81,81,30,172,Spain
V. Pavlidis,"ST, CAM",82,84,26,186,Greece
M. Meza,"CM, LW, RW, LM",75,75,32,180,Argentina
E. Gómez,"LB, LM",73,73,31,175,Argentina
L. Hall,LB,80,86,20,179,England
Carlos Soler,"CM, CAM",77,77,28,180,Spain
N. Gudelj,"CB, CDM",77,77,33,187,Serbia
B. Heynen,"CDM, CM, CAM",78,78,28,183,Belgium
J. Cuadrado,"RM, RB, RW",76,76,37,179,Colombia
Cristiano Ronaldo,ST,85,85,40,187,Portugal
R. Aliendro,"CM, CDM, CB",74,74,34,173,Argentina
K. Dewsbury-Hall,"CM, CAM, CDM",77,78,26,176,England
C. Zafeiris,"CM, CDM",75,82,22,173,Greece
D. Cataldi,"CDM, CM",77,77,30,180,Italy
Andeson Trigo,"LB, LM, CAM",77,77,33,175,Brazil
M. Götze,"CM, CAM, RM, CDM",82,82,33,176,Germany
P. Frankowski,"RB, RM",75,75,30,175,Poland
I. Toney,ST,81,81,29,187,England
M. Casco,"LB, RB, LM",74,74,37,170,Argentina
Diogo Dalot,"RB, LB, RM",79,81,26,183,Portugal
M. Sanson,"CM, CAM",76,76,30,180,France
Ricardo Horta,"CAM, LM, RM, CM",81,81,30,173,Portugal
C. De Ketelaere,"CAM, ST, CM",82,86,24,192,Belgium
J. Bowen,"RM, ST, RW",83,83,28,175,England
D. Núñez,ST,79,82,26,187,Uruguay
A. Castro-Montes,"RM, LM, RB, RW",77,77,28,175,Belgium
A. Colpani,"RM, CAM, RW",78,78,26,184,Italy
J. Frimpong,"RB, RM, RW",83,85,24,172,Netherlands
A. Isak,ST,88,89,25,192,Sweden
Álvaro Carreras,"LB, LM",80,88,22,186,Spain
C. Aquino,"CAM, CM",77,77,33,172,Argentina
M. Politano,"RW, RM",81,81,31,171,Italy
Marlon Dorrão,"CDM, CM",68,68,29,182,Brazil
Pedro Díaz,"CM, CDM, CAM",75,76,27,180,Spain
M. Bero,"CM, CAM",74,74,29,181,Slovakia
A. Bakasetas,"CAM, CM",76,76,32,181,Greece
Nuno Tavares,"LB, LM",78,81,25,183,Portugal
K. Benzema,"ST, CAM",85,85,37,185,France
S. Amrabat,"CDM, CM, CB",78,78,28,183,Morocco
S. Szymański,"CAM, CM",78,80,26,174,Poland
R. Sánchez,"CM, CDM",75,75,29,170,Paraguay
K. Castaño,"CM, CDM",77,80,24,177,Colombia
P. Hrošovský,"CM, CAM, CDM",76,76,33,173,Slovakia
S. Colombatto,"CDM, CM",73,74,28,179,Argentina
D. Sow,"CM, CDM",76,76,28,184,Switzerland
A. Jashari,"CDM, CM",77,86,22,181,Switzerland
Chiquinho,"CM, CAM, RM",78,78,29,175,Portugal
M. Amoura,"ST, LW, LM, CAM",80,84,25,170,Algeria
Oyarzabal,"ST, LM, LW",82,82,28,181,Spain
Renato Sanches,"CM, CDM",75,75,27,176,Portugal
Y. Fofana,"CDM, CM",81,84,26,181,France
G. Rutter,"CAM, ST",77,83,23,182,France
B. Cristante,"CM, CDM",80,80,30,186,Italy
Gerard Moreno,"ST, RW, CAM",81,81,33,180,Spain
J. Murphy,"RW, RM",81,81,30,179,England
P. Sarr,"CM, CDM",79,84,22,184,Senegal
G. Montiel,"RB, RM",78,78,28,175,Argentina
J. Juranović,"RB, RM",75,75,29,173,Croatia
R. Hatate,"CM, CAM",76,77,27,172,Japan
Fabinho,"CDM, CM",82,82,31,188,Brazil
V. Osimhen,ST,87,89,26,186,Nigeria
S. Lukić,"CDM, CM",78,78,28,183,Serbia
M. Kudus,"RW, LW, ST, RM",80,83,24,177,Ghana
A. Stach,"CDM, CM, CB",79,82,26,194,Germany
A. Barák,"CM, CAM",75,75,30,190,Czechia
Tozé,"CM, CAM",75,75,32,165,Portugal
M. Weiser,"RB, RM",78,78,31,177,Germany
R. Orsolini,"RM, RW",82,82,28,183,Italy
D. Machado,"LB, LM",76,76,31,180,Colombia
L. Cook,"CDM, RB, RM",79,80,28,175,England
N. Mazraoui,"RB, CB, RM",80,81,27,183,Morocco
T. Meunier,"RB, RM",76,76,33,191,Belgium
P. Højbjerg,"CDM, CM",82,82,29,187,Denmark
Unai López,"CM, CDM",76,76,29,170,Spain
Aitor Ruibal,"RB, RM, ST, RW",77,77,29,176,Spain
Dani Ceballos,"CM, CDM",81,81,28,179,Spain
R. Reitz,"CM, CDM",77,83,23,176,Germany
Wagner Laranjo,"CDM, CM",77,77,37,177,Brazil
O. Dorley,"CDM, CM",78,81,26,174,Liberia
Welington Dano,"LB, LM, LW",81,81,25,178,Brazil
H. Boudaoui,"CM, CDM",77,80,25,175,Algeria
I. Maatsen,"LB, LM",79,84,23,178,Netherlands
L. Camara,"CM, CDM",77,85,21,173,Senegal
A. Doucouré,"CAM, CM",74,74,32,184,Mali
P. Berg,"CDM, CM",77,80,27,177,Norway
L. Sané,"RM, LM, RW",82,82,29,183,Germany
Kévin Rodrigues,"LB, LM",75,75,31,170,Portugal
Y. Bissouma,"CDM, CM",78,78,28,182,Mali
Marquinhos,CB,87,87,31,183,Brazil
João Mário,"LM, RM, CM, LW",78,78,32,179,Portugal
K. Mainoo,"CM, CDM",77,85,20,181,England
Á. Di María,"RW, RM",82,82,37,180,Argentina
Nico González,"CDM, CM",79,85,23,188,Spain
J. Hofmann,"CAM, ST, CM",78,78,32,176,Germany
S. Dest,"RB, LB, RM",79,83,24,173,United States
Dani Olmo,"CAM, CM, ST",85,86,27,179,Spain
Gavi,"CM, CAM",83,89,20,173,Spain
Lee Kang In,"RW, CM, RM",79,84,24,173,Korea Republic
N. Raskin,"CDM, CM",77,82,24,178,Belgium
F. Honorat,"RM, RW, RB",80,80,28,180,France
B. André,"CDM, CM",80,80,34,180,France
J. Ramsey,"LM, LW",78,82,24,180,England
Gabriel Martinelli,"LW, LM",81,84,24,178,Brazil
R. Aït-Nouri,"LB, LM",81,85,24,180,Algeria
X. Schlager,"CDM, CM",80,82,27,174,Austria
João Félix,"CAM, LW, LM, ST",79,82,25,181,Portugal
Wesley,"RB, RM",77,85,21,178,Brazil
J. Rothwell,"CDM, CM",74,74,30,178,England
D. Klaassen,"CM, CDM",77,77,32,179,Netherlands
Z. Youssouf,"CDM, CM, CB",77,82,25,182,Comoros
Pablo Barrios,"CM, CDM",82,87,22,181,Spain
G. Til,"CAM, CM",77,77,27,186,Netherlands
R. Faivre,"RM, RW",76,76,26,180,France
Javi Galán,"LB, LM",80,80,30,172,Spain
H. Vanaken,"CAM, CM",80,80,32,195,Belgium
T. Savanier,"CAM, CM",75,75,33,172,France
P. Estupiñán,"LB, LM",79,80,27,175,Ecuador
L. Spinazzola,"LB, LM",78,78,32,186,Italy
Javi Guerra,"CM, CDM",77,86,22,187,Spain
Antony,"RW, RM",81,84,25,172,Brazil
Zubeldia,CB,78,80,28,181,Spain
Éder Aldralho,"RM, CAM, RW",72,72,25,183,Brazil
M. Darmian,"RB, CB, RM",81,81,35,182,Italy
Rosival Dourado,"CDM, CM, CAM",81,81,25,175,Brazil
O. Ntcham,"CDM, CM, CAM",73,73,29,180,Cameroon
N. Vlašić,"CAM, LW, RW, CM",79,79,27,179,Croatia
Q. Laçi,"CM, CAM, CDM",74,74,29,175,Albania
M. Lewis-Skelly,"LB, CM",78,87,18,178,England
S. Fofana,"CM, CDM, CAM",77,77,30,185,Côte d'Ivoire
J. Ward-Prowse,"CM, CDM, CAM, CB",77,77,30,173,England
É. Banega,"CM, CDM, CAM",77,77,37,176,Argentina
F. Bustos,"RB, RM",76,76,29,167,Argentina
H. Morita,"CM, CDM",79,79,30,177,Japan
Gustavo Sá,"CAM, CM",74,85,20,186,Portugal
A. Varela,"CDM, CM",79,85,23,177,Argentina
R. Freuler,"CDM, CM",81,81,33,180,Switzerland
K. Mitoma,"LM, LW",82,82,28,178,Japan
S. Zuber,"ST, CAM, LM",74,74,33,182,Switzerland
T. Vilhena,"CM, CDM, CAM",72,72,30,175,Netherlands
M. Depay,"ST, LW, CAM",81,81,31,178,Netherlands
Iago Aspas,"RW, ST, RM",83,83,37,176,Spain
O. Aina,"RB, LB, RM",80,80,28,184,Nigeria
M. Wanitzek,"CM, LM, CAM",76,76,32,179,Germany
L. Blas,"RM, RW, CAM",77,77,27,180,France
R. Mahrez,"RM, RW",84,84,34,179,Algeria
Iñigo Martínez,CB,85,85,34,182,Spain
M. Camara,"CM, CAM",78,79,27,179,France
J. Brandt,"CAM, CM",83,83,29,185,Germany
A. Kramarić,"CAM, CM",81,81,34,177,Croatia
J. Koundé,"RB, CB, RM",87,88,26,180,France
C. Roldan,"CDM, RM, CM, RW",74,74,30,172,United States
S. Steijn,"CAM, CM",78,83,23,173,Netherlands
Y. Musah,"CM, CDM, RM, CAM",74,82,22,178,United States
P. Lees-Melou,"CDM, CM",78,78,32,186,France
A. Král,"CM, CAM",74,75,27,187,Czechia
M. Rashica,"RM, LM, RW",76,76,29,177,Kosovo
N. Bentaleb,"CDM, CM",77,77,30,187,Algeria
N. Molina,"RB, RM",79,80,27,175,Argentina
A. Thomasson,"CM, CAM",77,77,31,175,France
A. Iwobi,"LM, RM, LW",80,80,29,180,Nigeria
F. Bernardeschi,"RM, ST, RW",77,77,31,185,Italy
M. Cornet,"LM, ST, LW",74,74,28,179,Côte d'Ivoire
D. Berardi,"RW, RM",82,82,30,183,Italy
Richarlison,"ST, LW, LM",78,78,28,184,Brazil
Portu,"RM, LM, RW",76,76,33,167,Spain
D. Kamada,"CM, CAM",77,77,28,184,Japan
O. Yokuşlu,"CDM, CM, CB",76,76,31,191,Turkiye
L. Shaw,"CB, LB, LM",79,79,29,181,England
M. Braida,"LM, LB",76,76,28,176,Argentina
Renato Veiga,"CB, CDM",76,84,21,190,Portugal
Nico Williams,"LM, RM, LW",86,89,22,181,Spain
P. Bucha,"CM, CDM, CAM",75,76,27,173,Czechia
H. Larsson,"CM, CDM",78,87,21,187,Sweden
S. Schrijvers,"CM, CAM, CDM",74,74,28,179,Belgium
Guilherme Sityá,"LB, LM",76,76,35,180,Brazil
J. Grealish,"LW, LM",80,80,29,180,England
Vini Jr.,"LW, ST, LM",89,92,24,176,Brazil
G. Kochorashvili,"CM, CDM, LM, CAM",74,77,26,176,Georgia
Cucho,"ST, CAM",78,81,26,176,Colombia
A. Rațiu,"RB, RM",79,80,27,183,Romania
M. Mount,"CAM, CM, RW",77,78,26,181,England
R. Calafiori,"LB, CB",78,84,23,188,Italy
K. Havertz,"ST, CM, CAM",82,84,26,193,Germany
R. Marin,"CM, CDM",74,74,29,175,Romania
Adrián Bernabé,"CDM, CM",74,81,24,170,Spain
J. Bellegarde,"CAM, CM",75,76,27,170,Haiti
S. Driussi,"ST, CAM, CM",77,77,29,178,Argentina
A. Marušić,"RB, LB, RM",78,78,32,185,Montenegro
A. Castro,"LM, CM, LW",73,73,30,183,Argentina
V. Rongier,"CDM, CM",79,79,30,174,France
H. Aouar,"CAM, CM",77,78,27,175,Algeria
V. Lazaro,"RM, LM, LB, RB",76,76,29,181,Austria
Casemiro,"CDM, CM",80,80,33,185,Brazil
M. Wieffer,"CDM, CM",78,82,25,188,Netherlands
Jauregizar,"CM, CDM",78,88,21,177,Spain
A. Stiller,"CDM, CM",83,87,24,183,Germany
A. Browne,"CM, CAM",72,72,30,179,Republic of Ireland
Lee Dong Kyeong,"CAM, ST, CM",75,75,27,175,Korea Republic
B. Ndiaye,"CDM, CM",74,74,34,180,Senegal
